,Unnamed: 0,album,artist,genre,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood,track_id,index,energy_level,positivity_level
193,13,SAD!,XXXTENTACION,Rap,SAD!,0.258,0.74,166568,0.613,0.00372,8,0.12300000000000001,-4.88,1,0.145,75.023,4,0.473,Sensual,35ieKju5aLWFN5UgfJ27mL,Sensual,0.0,0.0
194,14,Pineapple (feat. Gucci Mane & Quavo),Ty Dolla $ign,Rap,Pineapple (feat. Gucci Mane & Quavo),0.0301,0.9640000000000001,218261,0.555,0.000567,5,0.128,-6.245,0,0.0499,130.017,4,0.33799999999999997,,0TFVOjSvPTjFHkiZZekK5k,,,
195,15,420 Freestyle,Wiz Khalifa,Rap,420 Freestyle,0.00627,0.9229999999999999,215172,0.647,0.0,5,0.0855,-5.69,0,0.0715,145.006,4,0.536,,3gbN8NCqagIB9JO567Nw5C,,,
196,16,Creeping (feat. Rich the Kid),Lil Skies,Rap,Creeping (feat. Rich the Kid),0.0108,0.7290000000000001,179831,0.687,0.0,8,0.162,-8.06,0,0.25,160.085,4,0.6829999999999999,,7ms3VzLTfr7fXNOqA4Mkx9,,,
197,17,Scary Hours,Drake,Rap,God's Plan,0.0244,0.753,198960,0.45399999999999996,5.6200000000000004e-05,7,0.498,-9.488,1,0.0963,77.17,4,0.344,,2XW4DbS6NddZxRPm5rMCeY,,,
198,18,KOD,J. Cole,Rap,ATM,0.115,0.7190000000000001,216727,0.49700000000000005,0.0,8,0.0898,-7.6610000000000005,1,0.6809999999999999,81.65100000000001,4,0.345,,2UciqgwVDwro0fev3MFbxJ,,,
199,19,Psycho (feat. Ty Dolla $ign),Post Malone,Rap,Psycho (feat. Ty Dolla $ign),0.5660000000000001,0.74,220880,0.5579999999999999,0.0,8,0.11199999999999999,-8.115,1,0.102,140.05700000000002,4,0.42100000000000004,Sensual,65NwOZqoXny4JxqAPlfxRF,Sensual,0.0,0.0
200,20,Guatemala (feat. Slim Jxmmi),Swae Lee,Rap,Guatemala (feat. Slim Jxmmi),0.185,0.8490000000000001,256341,0.6990000000000001,0.00118,4,0.0954,-5.193,0,0.0574,100.98899999999999,4,0.0778,,6sTDhYVVXU3HSDuG7mBLRU,,,
201,21,Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell),Mike WiLL Made-It,Rap,Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell),0.128,0.871,273087,0.552,0.0,4,0.272,-4.953,0,0.0509,141.97299999999998,4,0.27,,5NkfVQS8BkceRgoSQwcW6H,,,
202,22,Who Run It (Remix),G Herbo,Rap,Who Run It (Remix) [Feat. Lil Uzi Vert],0.0412,0.669,263343,0.809,0.0,6,0.37799999999999995,-5.718,0,0.29600000000000004,159.364,4,0.605,,36fmvm49vZC9VM5X2DQJVe,,,
